,mid,name,sex,level,sign,official,birthday,roomid,fans,guards,status,archiveView,liveCount,maxPopularity,participant,danmaku,income,goldUser,danmutop20
10912,3597870,灼桃Zett,2,6,个人势Vup 是尸鬼 不是食尸鬼！爱吃臭豆腐。群：881603568,1,,380433,47774,1,0,527860,0,0,0,0,0,0,{}
10913,1793050577,奕兰秋_Gesyuta,1,4,You want a villain? I give you a villain !,0,8月21日,25189815,3994,6,0,56395,0,0,0,0,0,0,{}
10914,39495639,小尔Kiyaka,2,5,视频创作者。,0,,2504308,753,0,0,143932,0,0,0,0,0,0,{}
10915,1004103551,阿迪斯Ardes,2,3,MEW 所属艺人成员 | 一只高贵的帅气的高贵的高贵的帅气的白狼,0,,25203764,1800,3,0,2445,0,0,0,0,0,0,{}
10916,1568215873,狗酱Puppy,0,2,要的是陪伴，不是大饼????,0,1月1日,24556221,203,0,0,1630,0,0,0,0,0,0,{}
10917,177971550,菲斯缇亚Feastia,0,4,个人势Vup｜深渊的魔女，一只黑猫猫。,0,1月1日,5138116,4969,26,0,37720,0,0,0,0,0,0,{}
10918,40623682,叶梓贺_Azuka,2,6,欢迎来看我，我来自极北的森林！糖豆人玩家。清纯系不可以涩。偶像是泰蕾莎。,0,8月25日,3313276,10343,3,0,927421,0,0,0,0,0,0,{}
10919,1533049018,秋兔满月_Channel,0,3,月宫唯一超级聪明的继承人，偶尔会被嫦娥姐姐夺舍，成为我的粉丝，助我成为月宫之主，我给你们分月宫房产(??????),0,8月15日,25172964,1721,0,0,15802,0,0,0,0,0,0,{}
10920,1542109960,来狐jp_official,0,2,,0,1月1日,24774639,2060,0,0,9565,0,0,0,0,0,0,{}
10921,13544328,甜心韩导Leo,1,6,"来自遥远东方的九州大陆…父亲是龙，母亲是人类的混血龙角少年
「甜心幼儿园地址:627874808」",0,4月23日,13078172,1082,10,0,314100,0,0,0,0,0,0,{}
10922,315086381,十三时光的赶稿日常,0,5,"画加：十三时光
米画师：十三时光
半次元：十三时光
熊猫绘画：鶸时锦",0,3月2日,14025853,1537,0,0,143599,0,0,0,0,0,0,{}
10923,28184403,哆栗dori,2,6, 来511183031和小鸟签订契约！,0,,1181054,10606,4,0,102296,0,0,0,0,0,0,{}
10924,34275382,可可羊coco,0,6,"个人势养成系咩～你都关注我了，还不能把你拿下吗小样？
“请再多爱我一点……”
  粉丝群：829241016",0,6月6日,7490086,1715,3,0,56933,0,0,0,0,0,0,{}
10925,355498167,毅心的秘技,2,5,要多努力才能进入你的视线……商业合作v：miaoliuli,0,,12888944,11093,0,0,3429805,0,0,0,0,0,0,{}
10926,690512632,兰德特里斯zhi,1,5,个人自由势vup！白狼!欢迎大家来到特里斯的狼窝!q水友群:622808232,0,5月4日,24864571,304,0,0,2215,0,0,0,0,0,0,{}
10927,1557142458,弥海星砂misa,2,3,别定义我，我不需要被定义,0,6月25日,25178538,3113,7,0,30976,0,0,0,0,0,0,{}
10928,1005457213,辉瞳_Channel,2,3,在下就是高智商区主播一枚，同村的小伙伴都叫我大聪明！,0,,25172501,18750,3,0,248031,0,0,0,0,0,0,{}
10929,1613188510,妖斗jp_official,2,2,,0,1月1日,24740049,110,0,0,992,0,0,0,0,0,0,{}
10930,452109560,小月出阿,2,4,个猫势 如你所见，是个小笨蛋，想要你独一无二的偏爱  每晚九点直播，白天不定时降落,0,12月14日,25145734,7098,9,0,19948,0,0,0,0,0,0,{}
10931,342193167,奶思初,2,3,"这里是一只养成系的小恶魔，目标是成为一只大魔王嗷！~
喜欢打游戏~喜欢唱歌~也喜欢和大家开心的聊天捏！",0,2月15日,25191122,2897,1,0,935,0,0,0,0,0,0,{}
10932,1918368,啭啭菜菜,0,6,〈个人势〉一个嘻嘻哈哈打游戏的大兔子~ 喜欢能给你带来快乐！合作私信 （*我叫啭啭） 直播切片在收藏夹,0,11月15日,759969,5749,15,0,713943,0,0,0,0,0,0,{}
10933,400545320,绮梦piu,0,4,我是绮梦，是异世界魔女！QQ粉丝群：778934824,0,1月27日,22672571,3209,0,1,152097,0,0,0,0,0,0,{}
10934,14964684,奇稻田狐,2,6,梦想是有1700个粉丝！群号727033323,0,8月22日,492944,1648,2,0,565322,0,0,0,0,0,0,{}
10935,96450605,日向真慧Hinata,2,5,"个人势，云势力Vup，本体是一朵云，关心每位粉丝，
每晚10-12点直播，感谢关注~",0,3月9日,9109852,485,0,0,4683,0,0,0,0,0,0,{}
10936,1303523505,沐雨溪Muyaxi,2,3,你的每一次停留都会让我心动????,0,1月1日,24697406,1227,0,0,1308,0,0,0,0,0,0,{}
10937,3230898,蔷薇科矿石,2,5,你看起来很棒｜代号蔷薇科，植物园代理人，轻微社恐，安静画画，偶尔唱歌。,0,10月27日,24860746,136,0,0,1705,0,0,0,0,0,0,{}
10938,430283638,玖欢-official,2,3,玖伴之欢，愿长伴,0,,23400966,465,0,0,8170,0,0,0,0,0,0,{}
10939,60160,寅寅乌龍茶,2,6,喜欢我的视频和直播的话求素质3连谢谢。。。。  聊天灌水群：823315215 ,0,,14035285,2285,0,1,660439,0,0,0,0,0,0,{}
10940,483798370,绝煞_孤独の野狼,0,5,神秘的孤狼,0,1月1日,23331111,461,1,0,15222,0,0,0,0,0,0,{}
10941,1794818603,努努c吖,2,4,"一个在财神殿长跪不起的女主播
                       才艺不明！！！",1,12月5日,23931731,2999,0,0,7034,0,0,0,0,0,0,{}
10942,26078702,唯绘,2,5,上杉绘梨衣本人兼粉丝,0,1月1日,7182987,61,1,1,267,0,0,0,0,0,0,{}
10943,56801152,秦温qiqi,2,6,"vamos！！
感谢录播：@infinity白 或者 霸道秦温爱上我
商务或面试： 728621562",0,1月1日,8845343,19934,16,0,453701,0,0,0,0,0,0,{}
10944,1458765184,千夜栖sumika,2,3,人类世界观察日记.录播在@千夜栖的城堡录影机,0,6月18日,24556437,1398,9,0,8174,0,0,0,0,0,0,{}
10945,1736216325,Rbkkk,0,5,塞尔达速通/糖豆人700冠小萌新,0,11月22日,23416416,1699,0,0,572982,0,0,0,0,0,0,{}
